                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    113,                 0.3397,                0.18899,                0.84509,                0.89619,                0.88424,                0.91341,                0.67159,                 0.7294,                0.28514,                 1.0563,               0.006304,               0.006304,               0.006304
                    114,                0.33503,                  0.188,                0.84677,                 0.8931,                0.88858,                0.91803,                0.67288,                0.72915,                0.28165,                 1.0623,               0.006271,               0.006271,               0.006271
                    115,                0.33462,                0.18649,                0.84721,                0.90251,                0.88233,                0.92005,                0.66694,                0.72859,                0.28265,                 1.0664,               0.006238,               0.006238,               0.006238
                    116,                0.33374,                0.18692,                0.84639,                0.90634,                0.89234,                0.91452,                0.66732,                0.72909,                0.28142,                 1.0631,               0.006205,               0.006205,               0.006205
                    117,                0.33254,                0.18671,                0.84742,                0.90423,                0.88392,                0.91179,                0.66368,                0.72948,                0.28351,                 1.0632,               0.006172,               0.006172,               0.006172
                    118,                0.33003,                0.18673,                0.84673,                0.91743,                0.87081,                0.91191,                0.66543,                 0.7296,                0.28207,                 1.0669,               0.006139,               0.006139,               0.006139
                    119,                0.33022,                0.18651,                0.84631,                0.89143,                 0.8788,                0.90997,                0.66241,                0.73123,                0.28426,                 1.0652,               0.006106,               0.006106,               0.006106
                    120,                0.32698,                0.18461,                0.84372,                0.92163,                0.84122,                 0.9102,                0.66385,                0.72982,                0.28619,                 1.0653,               0.006073,               0.006073,               0.006073
                    121,                0.32621,                0.18492,                0.84732,                0.89552,                0.86041,                0.90488,                0.66273,                0.72902,                0.28777,                 1.0702,                0.00604,                0.00604,                0.00604
                    122,                0.32477,                0.18364,                0.83969,                0.88554,                0.86515,                0.90643,                0.66306,                0.72773,                 0.2839,                 1.0603,               0.006007,               0.006007,               0.006007
                    123,                0.32548,                0.18128,                0.84313,                0.91575,                0.84484,                0.90734,                0.66622,                 0.7274,                0.28288,                  1.063,               0.005974,               0.005974,               0.005974
                    124,                0.32514,                0.18409,                 0.8443,                0.90159,                0.85816,                0.90813,                0.66372,                 0.7279,                0.28514,                 1.0675,               0.005941,               0.005941,               0.005941
                    125,                0.32605,                0.18276,                0.84564,                0.90242,                0.85512,                0.90357,                0.66341,                0.72537,                0.28367,                 1.0689,               0.005908,               0.005908,               0.005908
